ID	WORKRESOURCEID	EMPLOYEEFILTERID
1722387877	41114	1863
1722387878	41136	1863
1722387879	41559	1863
1722387880	42301	1863
1722387881	42451	1863
1722387882	42452	1863
1722387883	42524	1863
1722387884	42564	1863
1722387885	43365	1863
1722387886	43404	1863
1722387887	43463	1863
1722387888	43502	1863
1722387889	43503	1863
1722387890	43504	1863
1722387891	43505	1863
1722387892	43506	1863
1722387893	43507	1863
1722387894	43508	1863
1722387895	43509	1863
1722387896	43515	1863
1722387897	43517	1863
1722387898	43534	1863
1722387899	43557	1863
1722387900	43567	1863
1722387901	43568	1863
1722387902	43569	1863
1722387903	43570	1863
1722387904	43571	1863
1722387905	43572	1863
1722387906	43589	1863
1722387907	43642	1863
1722387908	43643	1863
1722387909	43644	1863
1722387910	43645	1863
1722387911	43652	1863
1722387912	43655	1863
1722387913	43697	1863
1722387914	43698	1863
1722387915	43700	1863
1722387916	43701	1863
1722387917	43702	1863
1722387918	43703	1863
1722387919	43704	1863
1722387920	43705	1863
1722387921	43706	1863
1722387922	43707	1863
1722387923	43708	1863
1722387924	43709	1863
1722387925	43710	1863
1722387926	43714	1863
1722387927	43717	1863
1722387928	43719	1863
1722387929	43727	1863
1722387930	43738	1863
1722387931	43739	1863
1722387932	43740	1863
1722387933	43759	1863
1722387934	43760	1863
1722387935	43786	1863
1722387936	43791	1863
1722387937	43793	1863
1722387938	43794	1863
1722387939	43795	1863
1722387940	43796	1863
1722387941	43797	1863
1722387942	43828	1863
1722387943	43866	1863
1722387944	43867	1863
1722387945	43871	1863
1722387946	43872	1863
1722387947	43890	1863
1722387948	43891	1863
1722387949	43892	1863
1722387950	43951	1863
1722387951	44004	1863
1722387952	44005	1863
1722387953	44006	1863
1722387954	44007	1863
1722387955	44008	1863
1722387956	44011	1863
1722387957	44021	1863
1722387958	44072	1863
1722387959	44075	1863
1722387960	44099	1863
1722387961	44100	1863
1722387962	44102	1863
1722387963	44114	1863
1722387964	44124	1863
1722387965	44127	1863
1722387966	44152	1863
1722387967	44160	1863
1722387968	44162	1863
1722387969	44163	1863
1722387970	44164	1863
1722387971	44166	1863
1722387972	44167	1863
1722387973	44169	1863
1722387974	44187	1863
1722387975	44189	1863
1722387976	44191	1863
1722387977	44193	1863
1722387978	44226	1863
1722387979	44266	1863
1722387980	44295	1863
1722387981	44301	1863
1722387982	44307	1863
1722387983	44308	1863
1722387984	44310	1863
1722387985	44311	1863
1722387986	44312	1863
1722387987	44313	1863
1722387988	44316	1863
1722387989	44429	1863
1722387990	44968	1863
1722387991	44969	1863
1722387992	46588	1863
1722387993	46589	1863
1722387994	49301	1863
1722387995	51355	1863
1722387996	51400	1863
1722387997	51404	1863
1722387998	51411	1863
1722387999	51412	1863
1722388000	51416	1863
1722388001	51417	1863
1722388002	51501	1863
1722388003	51602	1863
1722388004	51751	1863
1722388005	51752	1863
1722388006	54569	1863
1722388007	54571	1863
1722388008	54594	1863
1722388009	54620	1863
1722388010	54622	1863
1722388011	54632	1863
1722388012	54639	1863
1722388013	54660	1863
1722388014	54798	1863
1722388015	54817	1863
1722388016	54820	1863
