ID	PERSONID	EMPLOYEETYPEID	ASSIGNEDPOINTS	BADGE	EMPLOYEENUMBER	STARTTIME	ENDTIME	CHANGECOUNTER	MODIFIEDBY	ISSUPERVISOR	ISTEAMLEAD	PREFERREDSTART
57685	11185	1	0	NULL	NULL	2011-11-04 05:00:00.000	2013-03-16 04:59:00.000	24	tammylewis	0	0	0
57689	11189	1	0	NULL	NULL	2011-11-04 05:00:00.000	2013-04-10 04:59:00.000	16	tammylewis	0	0	0
57692	11192	1	0	NULL	NULL	2011-11-04 05:00:00.000	2011-11-23 05:59:00.000	2	tammylewis	0	0	0
57694	11194	1	0	NULL	NULL	2011-11-04 05:00:00.000	2011-12-09 05:59:00.000	2	tammylewis	0	0	0
57702	11202	1	0	NULL	NULL	2011-11-04 05:00:00.000	2011-12-20 05:59:00.000	2	tammylewis	0	0	0
57706	11206	1	0	NULL	NULL	2011-11-04 05:00:00.000	2012-12-01 05:59:00.000	16	marygaskin	0	0	0
57712	11212	1	0	NULL	NULL	2011-11-04 05:00:00.000	2012-03-16 04:59:00.000	10	tammylewis	0	0	0
57721	11221	1	0	NULL	NULL	2011-11-04 05:00:00.000	NULL	19		0	0	0
57722	11222	1	0	NULL	NULL	2011-11-04 05:00:00.000	NULL	15		0	0	0
57725	11225	1	0	NULL	NULL	2011-11-04 05:00:00.000	NULL	20		0	0	0
57732	11232	1	0	NULL	NULL	2011-11-04 05:00:00.000	NULL	22	wsuperuser	0	0	0
