"D_REPORTING_PERIOD_ID","TYPE","START_DATE","END_DATE","MONTH","YEAR","CREATE_DATE","CREATED_BY","LAST_MODIFIED_DATE","UPDATED_BY"
66,"WEEKLY",11/30/2014 00:00:00,12/06/2014 00:00:00,"December",2014,,"",01/13/2014 18:04:46,"MOTS"
67,"WEEKLY",12/07/2014 00:00:00,12/13/2014 00:00:00,"December",2014,,"",01/13/2014 18:04:46,"MOTS"
68,"WEEKLY",12/14/2014 00:00:00,12/20/2014 00:00:00,"December",2014,,"",01/13/2014 18:04:46,"MOTS"
69,"WEEKLY",12/21/2014 00:00:00,12/27/2014 00:00:00,"December",2014,,"",01/13/2014 18:04:46,"MOTS"
70,"WEEKLY",12/28/2014 00:00:00,01/03/2015 00:00:00,"December",2014,,"",01/13/2014 18:04:46,"MOTS"
71,"WEEKLY",01/04/2015 00:00:00,01/10/2015 00:00:00,"January",2015,,"",01/13/2014 18:04:46,"MOTS"
72,"WEEKLY",01/11/2015 00:00:00,01/17/2015 00:00:00,"January",2015,,"",01/13/2014 18:04:46,"MOTS"
73,"WEEKLY",01/18/2015 00:00:00,01/24/2015 00:00:00,"January",2015,,"",01/13/2014 18:04:46,"MOTS"
74,"WEEKLY",01/25/2015 00:00:00,01/31/2015 00:00:00,"January",2015,,"",01/13/2014 18:04:46,"MOTS"
75,"WEEKLY",02/01/2015 00:00:00,02/07/2015 00:00:00,"February",2015,,"",01/13/2014 18:04:46,"MOTS"
76,"WEEKLY",02/08/2015 00:00:00,02/14/2015 00:00:00,"February",2015,,"",01/13/2014 18:04:46,"MOTS"
77,"WEEKLY",02/15/2015 00:00:00,02/21/2015 00:00:00,"February",2015,,"",01/13/2014 18:04:46,"MOTS"
78,"WEEKLY",02/22/2015 00:00:00,02/28/2015 00:00:00,"February",2015,,"",01/13/2014 18:04:46,"MOTS"
79,"WEEKLY",03/01/2015 00:00:00,03/07/2015 00:00:00,"March",2015,,"",01/13/2014 18:04:46,"MOTS"
80,"WEEKLY",03/08/2015 00:00:00,03/14/2015 00:00:00,"March",2015,,"",01/13/2014 18:04:46,"MOTS"
81,"WEEKLY",03/15/2015 00:00:00,03/21/2015 00:00:00,"March",2015,,"",01/13/2014 18:04:46,"MOTS"
82,"WEEKLY",03/22/2015 00:00:00,03/28/2015 00:00:00,"March",2015,,"",01/13/2014 18:04:46,"MOTS"
83,"WEEKLY",03/29/2015 00:00:00,04/04/2015 00:00:00,"April",2015,,"",01/13/2014 18:04:46,"MOTS"
84,"WEEKLY",04/05/2015 00:00:00,04/11/2015 00:00:00,"April",2015,,"",01/13/2014 18:04:46,"MOTS"
85,"WEEKLY",04/12/2015 00:00:00,04/18/2015 00:00:00,"April",2015,,"",01/13/2014 18:04:46,"MOTS"
86,"WEEKLY",04/19/2015 00:00:00,04/25/2015 00:00:00,"April",2015,,"",01/13/2014 18:04:46,"MOTS"
87,"WEEKLY",04/26/2015 00:00:00,05/02/2015 00:00:00,"April",2015,,"",01/13/2014 18:04:46,"MOTS"
88,"WEEKLY",05/03/2015 00:00:00,05/09/2015 00:00:00,"May",2015,,"",01/13/2014 18:04:46,"MOTS"
