SkillTargetID	ScheduleID	PeripheralID	EnterpriseName	PeripheralNumber	PeripheralName	AvailableHoldoffDelay	Priority	BaseSkillTargetID	Extension	SubGroupMaskType	SubSkillGroupMask	ConfigParam	Description	Deleted	MRDomainID	IPTA	DefaultEntry	UserDeletable	ServiceLevelThreshold	ServiceLevelType	BucketIntervalID	ChangeStamp
16182	NULL	5000	CCM_PG1.514_CHIP_SP_SEU_TDD	514	514_CHIP_SP_SEU_TDD	-1	0	16182	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
16257	NULL	5000	CCM_PG1.524_CHIP_EN_OPS_CIA	524	524_CHIP_EN_OPS_CIA	-1	0	16257	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
16258	NULL	5000	CCM_PG1.525_CHIP_SP_OPS_CIA	525	525_CHIP_SP_OPS_CIA	-1	0	16258	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
16849	NULL	5000	CCM_PG1.820_MAX_GLAD_EN	820	820_MAX_GLAD_EN	-1	0	16849	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	Maximus Gladiator English Skill - Maximus Security Response	N	1	Y	0	Y	-1	0	NULL	0
16850	NULL	5000	CCM_PG1.821_MAX_GLAD_SP	821	821_MAX_GLAD_SP	-1	0	16850	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	Maximus Gladiator English Skill - Maximus Security Response	N	1	Y	0	Y	-1	0	NULL	0
17021	NULL	5000	CCM_PG1.214_EB_EN_FREW_GRP2	214	214_EB_EN_FREW_GRP2	-1	0	17021	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	EB - English queue for FREW callers Overflow Group2	N	1	Y	0	Y	-1	0	NULL	0
17022	NULL	5000	CCM_PG1.215_EB_SP_FREW_GRP2	215	215_EB_SP_FREW_GRP2	-1	0	17022	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	EB - Spanish queue for FREW callers Overflow Group2	N	1	Y	0	Y	-1	0	NULL	0
17023	NULL	5000	CCM_PG1.216_EB_EN_FREW_GRP3	216	216_EB_EN_FREW_GRP3	-1	0	17023	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	EB - English queue for FREW callers Overflow Group3	N	1	Y	0	Y	-1	0	NULL	0
17024	NULL	5000	CCM_PG1.217_EB_SP_FREW_GRP3	217	217_EB_SP_FREW_GRP3	-1	0	17024	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	EB - Spanish queue for FREW callers Overflow Group3	N	1	Y	0	Y	-1	0	NULL	0
17025	NULL	5000	CCM_PG1.218_EB_EN_FREW_GRP4	218	218_EB_EN_FREW_GRP4	-1	0	17025	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	EB - English queue for FREW callers Overflow Group4	N	1	Y	0	Y	-1	0	NULL	0
17026	NULL	5000	CCM_PG1.219_EB_SP_FREW_GRP4	219	219_EB_SP_FREW_GRP4	-1	0	17026	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	EB - Spanish queue for FREW callers Overflow Group4	N	1	Y	0	Y	-1	0	NULL	0
17053	NULL	5000	CCM_PG1.140_THS_EN_GRP2	140	140_THS_EN_GRP2	-1	0	17053	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	THS English Group2 Queue - Recieves overflow calls from 100_THS_EN	N	1	Y	0	Y	-1	0	NULL	0
17054	NULL	5000	CCM_PG1.141_THS_SP_GRP2	141	141_THS_SP_GRP2	-1	0	17054	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	THS Spanish Group2 Queue - Recieves overflow calls from 101_THS_SP	N	1	Y	0	Y	-1	0	NULL	0
17055	NULL	5000	CCM_PG1.142_THS_EN_GRP3	142	142_THS_EN_GRP3	-1	0	17055	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	THS English Group3 Queue - Recieves overflow calls from 140_THS_EN_GRP2	N	1	Y	0	Y	-1	0	NULL	0
17056	NULL	5000	CCM_PG1.143_THS_SP_GRP3	143	143_THS_SP_GRP3	-1	0	17056	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	THS Spanish Group3 Queue - Recieves overflow calls from 141_THS_SP_GRP2	N	1	Y	0	Y	-1	0	NULL	0
17057	NULL	5000	CCM_PG1.144_THS_EN_GRP4	144	144_THS_EN_GRP4	-1	0	17057	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	THS English Group4 Queue - Recieves overflow calls from 142_THS_EN_GRP3	N	1	Y	0	Y	-1	0	NULL	0
17058	NULL	5000	CCM_PG1.145_THS_SP_GRP4	145	145_THS_SP_GRP4	-1	0	17058	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	THS Spanish Group4 Queue - Recieves overflow calls from 143_THS_SP_GRP3	N	1	Y	0	Y	-1	0	NULL	0
17791	NULL	5001	CCM_PG2.302_IEE_EN_Application	302	302_IEE_EN_Application	-1	0	17791	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	ES Application English	N	1	Y	0	Y	-1	0	NULL	0
17792	NULL	5001	CCM_PG2.303_IEE_SP_Application	303	303_IEE_SP_Application	-1	0	17792	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	ES Application Spanish	N	1	Y	0	Y	-1	0	NULL	0
17793	NULL	5002	CCM_PG3.302_IEE_EN_Application	302	302_IEE_EN_Application	-1	0	17793	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	ES Application English	N	1	Y	0	Y	-1	0	NULL	0
17794	NULL	5002	CCM_PG3.303_IEE_SP_Application	303	303_IEE_SP_Application	-1	0	17794	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	ES Application Spanish	N	1	Y	0	Y	-1	0	NULL	0
17795	NULL	5003	CCM_PG4.302_IEE_EN_Application	302	302_IEE_EN_Application	-1	0	17795	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	ES Application English	N	1	Y	0	Y	-1	0	NULL	0
17796	NULL	5003	CCM_PG4.303_IEE_SP_Application	303	303_IEE_SP_Application	-1	0	17796	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	ES Application Spanish	N	1	Y	0	Y	-1	0	NULL	0
18092	NULL	5000	CCM_PG1.258_EB_PD_TP40_1	258	EB_PD_TP40_1	-1	0	18092	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	EnrollmentTP 40/NOA Clients - Day 5	N	1	Y	0	Y	-1	0	NULL	0
18093	NULL	5000	CCM_PG1.259_EB_PD_TP40_2	259	EB_PD_TP40_2	-1	0	18093	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	EnrollmentTP 40/NOA Clients - Day 7	N	1	Y	0	Y	-1	0	NULL	0
18094	NULL	5000	CCM_PG1.131_THS_PD_NC_FC	131	THS_PD_NC_FC	-1	0	18094	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	Newly Certified Foster Care Children	N	1	Y	0	Y	-1	0	NULL	0
18095	NULL	5000	CCM_PG1.133_THS_PD_NC_SSI	133	THS_PD_NC_SSI	-1	0	18095	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	Newly Certified SSI Children	N	1	Y	0	Y	-1	0	NULL	0
