ID	EMPLOYEEID	ACTIVITYID	TIMEOFFEVENTID	TIMEOFFCHOICEID	TIMEOFFCHOICERANK	TIMEOFFRULE	TOTALMINUTES	STARTTIME	ENDTIME	ISDIRTY	DIRTYTIME	STATUS	HOURSPERDAY	ORIGMINUTES	EXPIRYDATE
1190150	94893	253	NULL	66081	1	2	480	2013-10-11 14:00:00.000	2013-10-11 22:30:00.000	0	2013-10-10 16:15:04.000	2	1:8	510	2013-10-11 14:00:00.000
1190245	98166	253	NULL	66110	1	2	480	2013-10-07 13:00:00.000	2013-10-07 21:30:00.000	0	2013-10-07 17:35:32.000	2	2:8	480	2013-10-07 13:00:00.000
1190270	91841	-4113	NULL	66112	1	2	480	2013-10-03 13:00:00.000	2013-10-03 21:30:00.000	0	2013-09-25 21:55:12.000	1	2:8	480	2013-10-03 13:00:00.000
1190295	98166	253	NULL	66118	1	2	330	2013-10-07 13:00:00.000	2013-10-07 19:00:00.000	0	2013-10-07 17:35:32.000	1	2:5.5	360	2013-10-07 13:00:00.000
1190318	57219	253	NULL	66124	1	2	480	2013-10-04 13:00:00.000	2013-10-04 21:45:00.000	0	2013-10-04 19:30:46.000	1	1:8	480	2013-10-04 13:00:00.000
1190334	106008	253	NULL	66130	1	2	390	2013-10-11 14:30:00.000	2013-10-11 23:00:00.000	0	2013-10-11 21:46:48.000	1	1:6.5	480	2013-10-11 14:30:00.000
1190340	40563	-4113	NULL	66132	1	2	240	2013-10-11 17:45:00.000	2013-10-11 22:15:00.000	0	2013-10-10 17:07:25.000	1	1:4	270	2013-10-11 17:45:00.000
1190342	70992	-4113	NULL	66134	1	2	60	2013-10-01 21:00:00.000	2013-10-01 22:00:00.000	0	2013-10-03 23:15:09.000	1	1:1	60	2013-10-01 21:00:00.000
1190394	51374	-4113	NULL	66136	1	2	480	2013-10-04 14:00:00.000	2013-10-04 22:30:00.000	0	2013-09-19 13:55:58.000	6	3:8	480	2013-10-04 14:00:00.000
1190489	105927	253	NULL	66140	1	2	480	2013-09-30 13:00:00.000	2013-09-30 21:30:00.000	0	2013-09-17 17:15:08.000	6	3:8	480	2013-09-30 13:00:00.000
1190490	105927	253	NULL	66141	1	2	480	2013-09-30 13:00:00.000	2013-09-30 21:30:00.000	0	2013-10-02 16:03:08.000	1	2:8	480	2013-09-30 13:00:00.000
1190643	54822	-4113	NULL	66143	1	2	480	2013-10-04 13:00:00.000	2013-10-04 21:30:00.000	0	2013-10-03 16:49:57.000	1	1:8	480	2013-10-04 13:00:00.000
1190663	57570	-4113	NULL	66151	1	2	210	2013-10-08 13:30:00.000	2013-10-08 17:00:00.000	0	2013-10-11 18:35:01.000	1	1:3.5	210	2013-10-08 13:30:00.000
1190690	58107	-4113	NULL	66161	1	2	90	2013-10-08 17:00:00.000	2013-10-08 18:30:00.000	0	2013-10-07 17:35:42.000	1	2:1.5	90	2013-10-08 17:00:00.000
